"name"                       ,tiso   ,    wmax,  theta^A_0,theta^A_w,tvWmaxE, tvHalfWmaxC, theta^P_0, theta^P_1,
"HipExtension"               ,175.746, 9.02335,  1.06465,  1.05941,  1.1,     0.163849,  0.79158,   1.5708   ,
"HipFlexion"                 ,157.293, 9.18043,  0.733038, 1.21999,  1.11905, 0.25,     -0.0888019,-0.515207 ,
"KneeExtension"              ,285.619, 19.2161,  0.942478, 0.509636, 1.13292, 0.115304,  2.00713,   2.70526  ,
"KneeFlexion"                ,98.7579, 16.633,   1.02974,  1.11003,  1.12,    0.19746,   0,        -0.174533 ,
"AnkleExtension"             ,127.561, 11.7646,  0.408,    0.660752, 1.159,   0.410591,  0.0292126, 0.785398 ,
"AnkleFlexion"               ,44.3106, 17.2746, -0.187,    0.60868,  1.2656,  0.112303, -0.523599, -1.0472   ,
"ShoulderExtension"          ,127.401, 16.249,   2.14675,  1.83085,  1.1,     0.250134,  2.8291,    3.55835  ,
"ShoulderFlexion"            ,91.1388, 19.0764,  0.890118, 1.2898,   1.23011, 0.249656, -0.523599, -1.0472   ,
"WristExtension"             ,15.5653, 36.5472,  1.55334,  1.38928,  1.16875, 0.115356,  1.0472,    1.5708   ,
"WristFlexion"               ,39.2252, 36.3901,  0.663225, 1.71042,  1.14,    0.115456, -0.793739, -1.49714  ,
"ShoulderHorizontalAdduction",128.496, 18.05,    0.839204, 1.28041,  1.25856, 0.214179,  1.5708,    2.26893  ,
"ShoulderHorizontalAbduction",94.6839, 18    ,  -0.277611, 2.37086,  1.23042, 0.224227, -0.523599, -1.0472   ,
"ShoulderInternalRotation"   ,50.522 , 19.47,   -1.18761,  2.80524,  1.27634, 0.285399,  1.39626,   1.91986  ,
"ShoulderExternalRotation"   ,43.5837, 18,      -0.670796, 1.98361,  1.35664, 0.229104, -1.0472,   -1.5708   ,
"ElbowExtension"             ,101.384, 18.1,     0.33,     3.62155,  1.37223, 0.189909,  0,        -0.174533 ,
"ElbowFlexion"               ,69.8728, 18.45,    1.64319,  1.30795,  1.31709, 0.189676,  2.0944,    2.61799  ,
"WristSupination"            ,13.5361, 35.45,   -0.209204, 1.33735,  1.23945, 0.250544, -0.785398, -1.5708   ,
"WristPronation"             ,12.976 , 27.88,   -0.212389, 0.991803, 1.3877,  0.207506,  0.785398,  1.5708   ,
"WristUlnarDeviation"        ,31.4217, 18.02,    0.43,     1.47849,  1.34817, 0.196913,  0,         -0.523599,
"WristRadialDeviation"       ,23.8345, 21.77,   -1.14319,  2.56082,  1.31466, 0.2092,    0.349066,  0.872665 ,
"LumbarExtension"            ,687.864, 7.98695,  1.5506,   1.14543,  1.1,     0.150907,  0.306223,  1.35342  ,
"LumbarFlexion"              ,211.65 , 19.2310,       0,   6.28319,  1.1,     0.150907,  0,        -0.785398 ,