lambdaTA, lambdaPE, lambdaTV, tiso, angleScalingTA, omegaMax, anglePE, idx
1.2207031250000000e-04, 9.2106051886218865e-01, 1.2207031250000000e-04, 1.9689793567163588e+02, 1.0285451817499991e+00, 1.0098322936474601e+01, -7.3099193526538667e-02, 0.0000000000000000e+00
0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.5729300000000001e+02, 1.0000000000000000e+00, 9.1804299999999994e+00, 0.0000000000000000e+00, 1.0000000000000000e+00
1.2207031250000000e-04, 6.8287862415724492e-05, 1.2207031250000000e-04, 2.8563147070440345e+02, 1.0000448018879520e+00, 1.9217236231300525e+01, 0.0000000000000000e+00, 2.0000000000000000e+00
1.2207031250000000e-04, 7.2878086873969799e-05, 1.2207031250000000e-04, 9.8760747306653784e+01, 1.0000673380649494e+00, 1.6634229829002706e+01, 0.0000000000000000e+00, 3.0000000000000000e+00
1.2207031250000000e-04, 5.5888447373699241e-05, 1.2207031250000000e-04, 1.2756582860753517e+02, 1.0000541370857550e+00, 1.1765260260459096e+01, 6.1204339261614624e-10, 4.0000000000000000e+00
0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 4.4310600000000001e+01, 1.0000000000000000e+00, 1.7274600000000000e+01, 0.0000000000000000e+00, 5.0000000000000000e+00
1.2207031250000000e-04, 9.1831248140596777e-01, 1.2207031250000000e-04, 1.9612295093648100e+02, 1.0361626824990666e+00, 1.0059643784720485e+01, -6.8500316632173278e-02, 6.0000000000000000e+00
0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.5729300000000001e+02, 1.0000000000000000e+00, 9.1804299999999994e+00, 0.0000000000000000e+00, 7.0000000000000000e+00
1.2207031250000000e-04, 6.7781084482814509e-05, 1.2207031250000000e-04, 2.8563121073328466e+02, 1.0000442109994383e+00, 1.9217234703768785e+01, 0.0000000000000000e+00, 8.0000000000000000e+00
1.2207031250000000e-04, 7.0611470978281906e-05, 1.2207031250000000e-04, 9.8761026418868298e+01, 1.0000652075743257e+00, 1.6634183579853730e+01, 0.0000000000000000e+00, 9.0000000000000000e+00
1.2207031250000000e-04, 5.6038047699731617e-05, 1.2207031250000000e-04, 1.2756582497885883e+02, 1.0000546891043050e+00, 1.1765261527852950e+01, 6.5289936341918790e-10, 1.0000000000000000e+01
0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 4.4310600000000001e+01, 1.0000000000000000e+00, 1.7274600000000000e+01, 0.0000000000000000e+00, 1.1000000000000000e+01
1.2207031250000000e-04, 5.3867776255895965e-05, 1.2207031250000000e-04, 6.8789242332475249e+02, 1.0000388121878994e+00, 7.9873762885935369e+00, 1.4592851258688723e-10, 1.2000000000000000e+01
0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 2.1165000000000001e+02, 1.0000000000000000e+00, 1.9231000000000002e+01, 0.0000000000000000e+00, 1.3000000000000000e+01
1.2207031250000000e-04, 7.5383792699007434e-05, 1.2207031250000000e-04, 6.8790595631031726e+02, 1.0000505819140559e+00, 7.9875490311164175e+00, 0.0000000000000000e+00, 1.4000000000000000e+01
0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 2.1165000000000001e+02, 1.0000000000000000e+00, 1.9231000000000002e+01, 0.0000000000000000e+00, 1.5000000000000000e+01
1.2207031250000000e-04, 8.4444480746475594e-05, 1.2207031250000000e-04, 5.0003384646963667e+01, 1.0000613407668328e+00, 9.0241038480160025e+00, 0.0000000000000000e+00, 1.6000000000000000e+01
0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 5.0000000000000000e+01, 1.0000000000000000e+00, 9.1804299999999994e+00, 0.0000000000000000e+00, 1.7000000000000000e+01
1.2207031250000000e-04, 5.5843424222458289e-05, 1.2207031250000000e-04, 1.2740233362438968e+02, 1.0000267554556221e+00, 1.6250015099656284e+01, 0.0000000000000000e+00, 1.8000000000000000e+01
1.2207031250000000e-04, 5.0531817491729049e-05, 1.2207031250000000e-04, 9.1141958482382307e+01, 1.0000486461145630e+00, 1.9077361880446428e+01, 0.0000000000000000e+00, 1.9000000000000000e+01
0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 6.9872799999999998e+01, 1.0000000000000000e+00, 1.8449999999999999e+01, 0.0000000000000000e+00, 2.0000000000000000e+01
1.2207031250000000e-04, 5.4186889489004478e-05, 1.2207031250000000e-04, 1.0138789076276186e+02, 1.0000542437172253e+00, 1.8100982151246818e+01, 0.0000000000000000e+00, 2.1000000000000000e+01
1.2207031250000000e-04, 5.4017193439420441e-05, 1.2207031250000000e-04, 2.3835913719555343e+01, 1.0000509599346254e+00, 2.1771175986132182e+01, 0.0000000000000000e+00, 2.2000000000000000e+01
0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 3.1421700000000001e+01, 1.0000000000000000e+00, 1.8020000000000000e+01, 0.0000000000000000e+00, 2.3000000000000000e+01
1.2207031250000000e-04, 5.6952187965986532e-05, 1.2207031250000000e-04, 1.2740228977443624e+02, 1.0000292656065053e+00, 1.6250039621390016e+01, 0.0000000000000000e+00, 2.4000000000000000e+01
1.2207031250000000e-04, 5.1514027101697184e-05, 1.2207031250000000e-04, 9.1141990949549793e+01, 1.0000496156721264e+00, 1.9077380874687165e+01, 0.0000000000000000e+00, 2.5000000000000000e+01
0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 6.9872799999999998e+01, 1.0000000000000000e+00, 1.8449999999999999e+01, 0.0000000000000000e+00, 2.6000000000000000e+01
1.2207031250000000e-04, 5.4671662228117916e-05, 1.2207031250000000e-04, 1.0138792260274255e+02, 1.0000546906369736e+00, 1.8100989379936074e+01, -1.0022166539962471e-09, 2.7000000000000000e+01
0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 3.1421700000000001e+01, 1.0000000000000000e+00, 1.8020000000000000e+01, 0.0000000000000000e+00, 2.8000000000000000e+01
1.2207031250000000e-04, 5.3970064002525807e-05, 1.2207031250000000e-04, 2.3835909490945813e+01, 1.0000511100526981e+00, 2.1771174977439703e+01, 0.0000000000000000e+00, 2.9000000000000000e+01
